Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 2,19,5,1
ICC-Absentee by Mail - 3,16,7,2
ICC-Absentee by Mail - 4,18,4,2
ICC-Absentee by Mail - 8,19,6,0
ICC-Absentee by Mail - 9,19,6,0
ICC-Absentee by Mail - 10,20,4,0
ICC-Absentee by Mail - 11,14,8,2
ICC-Absentee by Mail - 14,19,4,2
ICC-Absentee by Mail - 15,14,2,0
ICC-Absentee by Mail - 16,18,6,1
ICC-Absentee by Mail - 17,16,9,0
ICC-Absentee by Mail - 18,13,11,1
ICC-Absentee by Mail - 19,21,4,0
ICC-Absentee by Mail - 20,16,9,0
ICC-Absentee by Mail - 21,15,10,0
ICC-Absentee by Mail - 22,12,4,0
ICC-Absentee by Mail - 23,4,3,0
ICC-Absentee by Mail - 25,13,11,1
ICC-Absentee by Mail - 27,14,10,0
ICC-Absentee by Mail - 29,11,9,2
AV-Elections Office ICP 1 - 0,2273,461,115
AV-Elections Office ICP 2 - 0,2310,448,101
ICC-Absentee by Mail - 30,4,4,0
ED-Rabun County ICP 1 - 0,476,73,28
ED-Rabun County ICP 2 - 0,361,58,29
ED-Rabun County ICP 3 - 0,596,101,45
ICC-Absentee by Mail - 31,18,6,1
ICC-Absentee by Mail - 32,13,9,1
ICC-Absentee by Mail - 33,16,8,0
ICC-Absentee by Mail - 34,19,3,2
ICC-Absentee by Mail - 35,13,11,1
ICC-Absentee by Mail - 36,18,7,0
ICC-Absentee by Mail - 37,21,2,2
ICC-Absentee by Mail - 38,22,3,0
ICC-Absentee by Mail - 39,19,5,1
ICC-Absentee by Mail - 40,1,0,0
