Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem),,
ICC-Absentee by Mail - 1,30,33,,
ICC-Absentee by Mail - 9,20,30,,
ICC-Absentee by Mail - 16,27,23,,
ICC-Absentee by Mail - 17,36,14,,
ICC-Absentee by Mail - 18,18,32,,
ICC-Absentee by Mail - 19,11,39,,
ICC-Absentee by Mail - 15,34,16,,
ICC-Absentee by Mail - 14,20,29,,
ICC-Absentee by Mail - 10,15,35,,
ICC-Absentee by Mail - 11,24,26,,
ICC-Absentee by Mail - 12,21,28,,
ICC-Absentee by Mail - 13,23,27,,
ICC-Absentee by Mail - 2,20,30,,
ICC-Absentee by Mail - 20,23,27,,
ICC-Absentee by Mail - 5,16,34,,
ICC-Absentee by Mail - 6,18,32,,
ICC-Absentee by Mail - 7,16,34,,
ICC-Absentee by Mail - 8,15,35,,
ICC-Absentee by Mail - 4,13,36,,
ICC-Absentee by Mail - 3,16,33,,
ICC-Absentee by Mail - 21,26,23,,
ICC-Absentee by Mail - 22,13,37,,
ICC-Absentee by Mail - 23,16,34,,
ICC-Absentee by Mail - 24,10,38,,
ICC-Absentee by Mail - 30,22,28,,
ICC-Absentee by Mail - 33,2,7,,
ICC-Absentee by Mail - 32,2,3,,
ICC-Absentee by Mail - 31,1,2,,
ICC-Absentee by Mail - 27,27,23,,
ICC-Absentee by Mail - 26,6,9,,
ICC-Absentee by Mail - 28,9,41,,
ICC-Absentee by Mail - 29,20,26,,
ICC-Absentee by Mail - 34,0,1,,
ICC-Absentee by Mail - 25,2,0,,
ICC-Absentee by Mail - 35,0,2,,
AV-Athletics Hall of Fame  ICP 1 - 0,2206,2084,,
AV-Athletics Hall of Fame  ICP 2 - 0,1594,1538,,
ED-07  ICP 1 - 0,491,166,,
ED-11  ICP 1 - 0,619,280,,
ED-09  ICP 1 - 0,570,75,,
ED-16  ICP 1 - 0,272,640,,
ED-13  ICP 1 - 0,761,112,,
ED-08  ICP 1 - 0,418,162,,
ED-21  ICP 1 - 0,844,382,,
ED-20  ICP 1 - 0,702,101,,
ED-05  ICP 1 - 0,275,462,,
ED-06  ICP 1 - 0,80,298,,
ED-10  ICP 1 - 0,420,222,,
ED-03  ICP 1 - 0,631,222,,
ED-19  ICP 1 - 0,611,224,,
ED-01  ICP 1 - 0,35,310,,
ED-02  ICP 1 - 0,35,331,,
ED-12  ICP 1 - 0,698,109,,
ED-14  ICP 1 - 0,440,155,,
ED-17  ICP 1 - 0,345,158,,
ICC-Absentee by Mail - 36,2,2,,
ICC-Provisional - 1,3,2,,
ICC-Provisional - 2,1,0,,
